,Unnamed: 0,app,size,price,rating_count,rating_count_ver,rating,rating_ver,content,category,free,less or equal $2,$2-$5,greater than $5
1687,1687,中国移动手机营业厅(中国移动官方),1.7953863783725805,0.0,82,2,2.5,5.0,4+,Utilities,1,0,0,0
3476,3476,激ムズ！和のひとふで書き！ 〜頭をつかう脳トレパズルゲーム〜,1.978842186138675,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
14,14,FreeCell,1.7415770147804228,4.99,6340,668,4.5,4.5,4+,Games,0,0,1,0
2918,2918,Webcams Viewer - Live Video Surveillance IP Cams,1.1434207851299365,0.0,130,18,3.0,2.5,4+,Entertainment,1,0,0,0
4581,4581,フラッシュワード〜光速瞬間記憶脳トレクイズ〜,1.599511908177464,0.0,0,0,0.0,0.0,12+,Games,1,0,0,0
6493,6493,The Complete Fairytale Play Theater,2.666532020020254,4.99,13,3,5.0,5.0,4+,Education,0,0,1,0
2136,2136,Doom and Destiny,2.216601298488602,2.99,725,461,4.5,4.5,12+,Games,0,0,1,0
5450,5450,Train Kit,1.5097534443819944,2.99,66,0,4.0,0.0,4+,Games,0,0,1,0
1155,1155,mememo(ミーメモ)ダイエット〜生理日予測まで女性サポート,1.9226995137008955,0.0,7,0,4.0,0.0,4+,Health & Fitness,1,0,0,0
6187,6187,牛タン牛タン牛タンタン,1.371714202642618,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
5661,5661,Mr.Luma's Super Flight,1.784182067017202,0.99,0,0,0.0,0.0,4+,Education,0,1,0,0
1258,1258,Little Writer - The Tracing App for Kids,1.5730805706525928,0.99,1348,2,4.5,3.0,4+,Education,0,1,0,0
7083,7083,Juju On That Beat  - Dance Challenge Game,1.8227040759971533,0.0,21,10,2.0,2.5,4+,Games,1,0,0,0
4293,4293,Outback,1.86892055953813,0.0,805,191,4.5,4.5,12+,Food & Drink,1,0,0,0
5235,5235,Stirfry Stunts – We Bare Bears Cooking Game Starring Chef Ice Bear,2.5638381042880476,0.0,525,234,4.0,4.0,4+,Games,1,0,0,0
4607,4607,Catch Santa Claus in my house for Christmas,1.831140007280421,0.0,37,3,3.5,3.5,4+,Lifestyle,1,0,0,0
6275,6275,Moji Maker™,2.201836659131787,1.99,4553,57,4.0,3.0,4+,Entertainment,0,1,0,0
349,349,Animation Creator HD,1.5058415841733006,3.99,4497,448,4.0,4.0,12+,Entertainment,0,0,1,0
4376,4376,愛しのショコラティエ いけめん恋愛ゲーム・乙女げーむ女性向け人気,2.231884826136274,0.0,0,0,0.0,0.0,17+,Games,1,0,0,0
379,379,The World Factbook for iPad,1.864653449354013,1.99,273,8,3.5,4.5,4+,Books & Reference,0,1,0,0
6853,6853,Mine Blitz,1.4671935894118155,0.0,2541,992,4.5,4.5,4+,Games,1,0,0,0
4432,4432,Agent Gumball - Roguelike Spy Game,2.7487421743080405,2.99,22,14,4.0,3.5,9+,Games,0,0,1,0
3919,3919,The Game - Play ... as long as you can!,1.7221730627356462,2.99,41,9,4.5,4.5,9+,Games,0,0,1,0
5495,5495,CHINGOJI,1.329235115569424,0.99,58,16,3.0,2.0,4+,Entertainment,0,1,0,0
6502,6502,Light+ AnalogCam,1.675200730890694,0.99,0,0,0.0,0.0,4+,Photo & Video,0,1,0,0
4322,4322,"Themify - Full HD Themes for iPhone with Live Wallpapers, Backgrounds and Keyboards.",1.9275243408750287,3.99,1024,390,4.5,4.5,4+,Utilities,0,0,1,0
2306,2306,Wallpapers for Me - Themes & Background Images,1.9031714095741719,0.0,16925,454,4.5,4.5,4+,Entertainment,1,0,0,0
4683,4683,Tube Heroes Racers,2.4824033196056763,1.99,10,0,4.5,0.0,4+,Games,0,1,0,0
6916,6916,【意味笑】意味が分かると面白い話-謎解き2ch系推理ゲーム,1.5957496700162612,0.0,0,0,0.0,0.0,12+,Books & Reference,1,0,0,0
4402,4402,Splash Cars,2.260641323637607,0.0,2094,24,4.5,5.0,4+,Games,1,0,0,0
5308,5308,"I, Viking",2.7047089041749564,0.0,447,1,4.5,5.0,12+,Games,1,0,0,0
6130,6130,Toca Life: Vacation,2.4777028197637962,2.99,1730,493,4.5,4.5,4+,Education,0,0,1,0
4074,4074,Superhero Girl Salon: Kids Makeup and Dressup Game,1.9804942333900415,1.99,16,3,4.5,4.5,4+,Games,0,1,0,0
1487,1487,"It's The Great Pumpkin, Charlie Brown",2.1504739798821992,5.99,632,0,4.0,0.0,4+,Books & Reference,0,0,0,1
4177,4177,PewDiePie: Legend of the Brofist,2.6605714236961155,4.99,10828,1850,5.0,5.0,12+,Games,0,0,1,0
2044,2044,My Talking Pet,1.707612751901304,1.99,9035,72,4.5,5.0,4+,Entertainment,0,1,0,0
1096,1096,Where is Santa - Santa Tracker,1.09011691075201,0.99,92,3,3.5,3.5,4+,Entertainment,0,1,0,0
3463,3463,Ringtone Remixes - Marimba Remix Ringtones,1.1283346367537161,0.0,213,9,3.5,3.0,4+,Entertainment,1,0,0,0
5548,5548,Smart Baby Sorter HD - Early Learning Shapes and Colors / Matching and Educational Games for Preschool Kids,1.225516039397896,2.99,5,5,4.5,4.5,4+,Games,0,0,1,0
1389,1389,Into the Dead,2.235093935133531,0.0,32492,2346,4.5,4.5,12+,Games,1,0,0,0
597,597,Tagesschau,1.9239068740208507,0.0,233,56,4.0,5.0,12+,News,1,0,0,0
2347,2347,Spider: Rite of the Shrouded Moon,2.958158543715544,4.99,155,38,4.5,4.5,9+,Games,0,0,1,0
2239,2239,FizzUp – Online Fitness Trainer,2.0938592615034377,0.0,5,0,5.0,0.0,4+,Health & Fitness,1,0,0,0
7031,7031,Golden Lotus Slots,2.0469319704886075,0.0,0,0,0.0,0.0,17+,Games,1,0,0,0
6133,6133,NBA 2K17,3.4699232904752737,7.99,2408,398,3.0,3.0,4+,Games,0,0,0,1
6886,6886,Construction Simulator PRO 2017,2.552501522097372,4.99,166,18,2.5,3.0,4+,Games,0,0,1,0
1878,1878,Sproggiwood,2.6420706077039835,4.99,105,37,4.5,4.5,12+,Games,0,0,1,0
2117,2117,Batman: Arkham Origins,2.9594106242512956,0.0,27738,14077,4.5,4.5,9+,Games,1,0,0,0
629,629,HotelTonight - Great Deals on Last Minute Hotels,1.8994484032085894,0.0,32341,1707,4.5,5.0,12+,Travel,1,0,0,0
1583,1583,Bubble Guppies: Animal School Day HD,2.9174897549325007,4.99,1207,264,3.5,3.5,4+,Education,0,0,1,0
6963,6963,gogogo,0.8580557180503643,0.0,0,0,0.0,0.0,4+,Shopping,1,0,0,0
5920,5920,EggPunch 2 - adventure puzzle game,2.319099810423354,0.99,0,0,0.0,0.0,4+,Games,0,1,0,0
3215,3215,Snow Leopard Simulator,2.0289005084964615,0.99,837,837,4.5,4.5,9+,Games,0,1,0,0
981,981,Tasty Planet: Back for Seconds,1.4919077209148308,2.99,264,56,4.5,4.5,9+,Games,0,0,1,0
5218,5218,電球でテニスしてみた-無料で遊べるミニゲーム,1.8264700252521189,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
2668,2668,Osmo Newton,2.72964743094419,0.0,132,3,4.0,5.0,4+,Games,1,0,0,0
1776,1776,Worms3,2.5585021716309586,4.99,4422,2200,4.0,4.0,9+,Games,0,0,1,0
3347,3347,Pursuit of Light,1.5222355133379852,0.99,2114,178,4.5,4.5,4+,Games,0,1,0,0
1252,1252,Bazaart Photo Editor Pro and Picture Collage Maker,2.080896934973246,0.0,4909,479,4.5,5.0,4+,Photo & Video,1,0,0,0
2198,2198,Dreii,2.1540586103769708,3.99,148,20,4.0,4.0,4+,Games,0,0,1,0
3377,3377,Black Box - Black Movie List,1.3944341685988746,0.0,136,11,1.5,1.0,4+,Entertainment,1,0,0,0
5996,5996,【脳トレ】ROLL -ころがす、はめる、きえる-,1.8580436742205295,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
2161,2161,Capital One for iPad,1.9661886809561373,0.0,21858,389,4.5,4.5,4+,Finance,1,0,0,0
1990,1990,Sabres of Infinity,1.6226077153597795,2.99,169,57,4.5,4.5,12+,Games,0,0,1,0
6777,6777,ARP ODYSSEi,2.024526714387152,29.99,110,38,4.5,4.5,4+,Entertainment,0,0,0,1
7000,7000,AutoSleep. Auto Sleep Tracker for Watch,0.8922616069155351,2.99,979,368,4.5,4.5,4+,Health & Fitness,0,0,1,0
6095,6095,RAMP-光を灯す孤独な物語- #無料アクションゲーム,2.422233526291843,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
6353,6353,Tina's Diary - Star Fever,2.033158272175399,0.0,139,139,4.0,4.0,4+,Games,1,0,0,0
1826,1826,IMPOSSIBLE ROAD,2.108098007623882,2.99,8249,18,4.0,4.5,4+,Games,0,0,1,0
1016,1016,The Price is Right™ Decades,2.492248989075279,0.99,7693,7693,4.0,4.0,4+,Games,0,1,0,0
3858,3858,The Earth by Tinybop,2.6917231722071864,2.99,173,9,4.0,3.5,4+,Education,0,0,1,0
6680,6680,Escape from the living room during the Obon holiday.,2.0080292529333157,0.0,3,3,4.0,4.0,4+,Games,1,0,0,0
4976,4976,Peach — share vividly,1.1938478199735574,0.0,727,98,4.0,4.0,12+,Social Networking,1,0,0,0
3756,3756,Easy Music - Give kids an ear for music,2.3932381652883485,3.99,43,16,4.5,4.0,4+,Education,0,0,1,0
931,931,eHarmony™ Dating App - Meet Singles,2.010355088181973,0.0,11124,15,2.5,1.0,17+,Social Networking,1,0,0,0
186,186,SFR Mon Compte,1.8697830410104517,0.0,19,0,3.0,0.0,4+,Utilities,1,0,0,0
4151,4151,FRESH! - ログイン不要・高画質で生放送が見放題,1.9799487971205372,0.0,0,0,0.0,0.0,17+,Entertainment,1,0,0,0
5937,5937,"Miss Hollywood: Lights, Camera, Fashion! - Pet Fun",2.7767883246398557,0.0,1283,171,4.5,4.5,4+,Entertainment,1,0,0,0
5463,5463,YO-KAI WATCH Wibble Wobble,1.88898216839912,0.0,4275,69,4.5,4.5,4+,Games,1,0,0,0
1046,1046,Runtastic Mountain Bike Ride & Route Tracker PRO,1.7639742618830268,4.99,1520,24,4.5,4.5,4+,Health & Fitness,0,0,1,0
4662,4662,"parkOmator – for Apple Watch meter expiration timer, notifications & GPS navigator to car location",1.3970705499594087,0.99,1,1,5.0,5.0,4+,Navigation,0,1,0,0
5923,5923,Partly Sunny - Weather Forecasts,1.312515855663387,2.99,88,12,4.5,4.5,4+,Weather,0,0,1,0
1305,1305,宝宝树孕育-火爆的备孕怀孕育儿社区,2.0818223950476646,0.0,456,1,4.5,5.0,17+,Health & Fitness,1,0,0,0
1537,1537,Lumps of Clay,1.957856204830935,0.99,0,0,0.0,0.0,4+,Games,0,1,0,0
1143,1143,Headspace,2.0833986920498373,0.0,12819,1326,5.0,5.0,4+,Health & Fitness,1,0,0,0
1933,1933,Pixel Gun 3D,3.241667488460459,0.0,301182,3493,4.5,4.5,12+,Games,1,0,0,0
4361,4361,Scanner App - PDF Document Scan,1.9833285377719176,0.0,11696,2109,4.5,4.5,4+,Business,1,0,0,0
1677,1677,"Instant Fitness : 600+ exercises, 100+ workouts, home, exercise workout trainer, 7 minute workout, on-the-go personal mobile fitness trainer by Fitness Buddy and Instant Heart Rate",1.904038968600478,9.99,571,214,4.5,4.5,4+,Health & Fitness,0,0,0,1
2083,2083,Tayasui Sketches Pro,2.297758323212102,4.99,1761,13,4.5,5.0,4+,Productivity,0,0,1,0
5643,5643,My Boo Town - Create your own Village of Boos,2.0722057672276586,0.0,1829,354,4.5,4.5,4+,Games,1,0,0,0
71,71,MotionX GPS,1.7519100664712521,1.99,14970,24,3.5,4.5,4+,Navigation,0,1,0,0
6137,6137,脱出ゲーム 体育館からの脱出【学校脱出シリーズ5弾】,1.840852288929149,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
4123,4123,Slash Mobs,2.3964486896042856,0.0,4179,790,4.5,4.5,9+,Games,1,0,0,0
17,17,"Yelp - Nearby Restaurants, Shopping & Services",2.2237762079752734,0.0,223885,3726,4.0,4.5,12+,Travel,1,0,0,0
2442,2442,Athletics: Winter Sports (Full Version),2.168950987162858,0.99,142,0,4.0,0.0,4+,Games,0,1,0,0
3921,3921,Mix+Smash: Marvel Super Hero Mashers,2.685648601551918,0.0,1050,615,4.5,4.5,4+,Entertainment,1,0,0,0
3766,3766,Spinny Circle,1.221570712166461,0.0,20812,213,4.5,4.0,4+,Games,1,0,0,0
972,972,"百度糯米-电影,美食团购",2.107145499275682,0.0,383,0,4.5,0.0,17+,Lifestyle,1,0,0,0
5813,5813,ダニエル！！今はフリーキック中よ！,2.116860013065678,0.0,0,0,0.0,0.0,12+,Games,1,0,0,0
5926,5926,OdellMoji by Odell Beckham Jr.,0.954145988829548,1.99,21,16,4.5,4.5,12+,Entertainment,0,1,0,0
5708,5708,Candy Makeup - Sweet Salon Game for Girls,2.106088858382442,0.0,575,110,4.0,4.5,4+,Games,1,0,0,0
5099,5099,"CubeMator - Craft, Build and Explore the World",2.178879148120765,0.0,273,85,4.5,4.0,4+,Games,1,0,0,0
5885,5885,Escape from the Art Gallery.,2.041881977751966,0.0,7,6,4.0,4.0,4+,Games,1,0,0,0
3242,3242,Paul Pixel - The Awakening,2.0334036487954994,1.99,106,4,4.5,4.0,9+,Games,0,1,0,0
244,244,Moorhuhn Deluxe - Crazy Chicken,1.4441697547685723,0.99,319,12,3.0,5.0,12+,Games,0,1,0,0
5849,5849,Jigsaw Puzzle for Brain Training -PITATOY-,1.9642690610278262,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
3971,3971,Would You Rather?,1.5188822759238745,0.0,6479,2263,4.5,4.5,12+,Games,1,0,0,0
49,49,First Words Animals,1.5073835557363868,1.99,2576,4,4.0,5.0,4+,Games,0,1,0,0
587,587,Merriam-Webster Dictionary,2.191992845756932,0.0,16849,1125,4.5,4.5,4+,Books & Reference,1,0,0,0
6509,6509,"Free Gameplay Video, Walkthroughs, News for Pokémon GO",1.1137762838370313,0.0,0,0,0.0,0.0,17+,Games,1,0,0,0
4482,4482,Cat Monsters,1.9418392657999892,0.0,7,0,4.0,0.0,4+,Games,1,0,0,0
6270,6270,ブリ猫,1.618341015870793,0.0,0,0,0.0,0.0,12+,Games,1,0,0,0
32,32,Election 2016 Map,0.37785241900675454,0.99,137,0,3.0,0.0,4+,Entertainment,0,1,0,0
736,736,"Procreate – Sketch, paint, create.",2.123747136489194,5.99,6109,356,4.5,4.5,4+,Entertainment,0,0,0,1
6909,6909,Escape from the pit latrine.,2.034134933276211,0.0,2,2,3.5,3.5,4+,Games,1,0,0,0
5727,5727,Block Sky War (Luck of the Draw) : Mini Game With Worldwide Multiplayer,2.035229556350212,0.99,67,38,4.0,4.0,12+,Games,0,1,0,0
4750,4750,The Walls,2.137638905022756,0.0,1662,1373,4.5,4.5,4+,Games,1,0,0,0
431,431,Apple Store,1.8499289654198237,0.0,55171,187,3.5,3.5,4+,Shopping,1,0,0,0
6617,6617,Evolution Calculator - CP & XP - for Pokemon GO!,1.2924554465206362,0.0,9269,5,5.0,1.0,4+,Utilities,1,0,0,0
400,400,Breathing Zone: Guided Breathing for Mindfulness,1.5698418994037615,3.99,511,57,4.5,4.5,4+,Health & Fitness,0,0,1,0
4129,4129,Cut the Rope HD,2.4065521020796328,3.99,71,1,4.5,5.0,4+,Games,0,0,1,0
7066,7066,ネイティブ1000人と作った英会話～日常英会話編～,1.7090493647937481,12.99,0,0,0.0,0.0,4+,Education,0,0,0,1
1180,1180,FINAL FANTASY TACTICS: THE WAR OF THE LIONS for iPad,2.817187759251512,15.99,1992,1583,4.5,4.5,9+,Games,0,0,0,1
4075,4075,Bob's Burgers Pinball,1.6889534626374179,1.99,43,39,4.5,4.5,4+,Games,0,1,0,0
368,368,Angry Birds HD,2.245919628158066,0.0,89110,114,4.5,4.0,4+,Games,1,0,0,0
1151,1151,中华万年历-2亿用户首选的日历软件,1.7719841169976298,0.0,598,1,5.0,5.0,12+,Utilities,1,0,0,0
872,872,Snapchat,2.307579465785148,0.0,323905,576,2.5,3.0,12+,Photo & Video,1,0,0,0
6942,6942,Extreme Trucks Simulator,2.676063196724199,0.0,579,120,4.0,4.5,4+,Games,1,0,0,0
4952,4952,性格美男美女診断２,1.4356692119260464,0.0,0,0,0.0,0.0,17+,Entertainment,1,0,0,0
6468,6468,シュッと描いてポンッ!（シュポン）物理パズル脳トレ,1.5787652402099754,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
1652,1652,Grand Theft Auto: Vice City,3.0648954328531848,4.99,20113,1153,4.0,4.5,17+,Games,0,0,1,0
3163,3163,Crayola Color Alive,2.3337575179506316,0.0,816,8,3.0,3.5,4+,Entertainment,1,0,0,0
1957,1957,Formula Cartoon All-Stars – Crazy Cart Racing with Your Favorite Cartoon Network Characters,2.9672862911286555,2.99,168,162,4.0,4.0,4+,Games,0,0,1,0
2203,2203,FOX Sports GO,1.9984511530581608,0.0,13898,336,3.0,4.0,12+,Sports,1,0,0,0
2408,2408,开心消消乐®,2.1337783429891113,0.0,40,2,4.0,2.5,4+,Games,1,0,0,0
4832,4832,A Short Tale,2.653812390773002,3.99,83,61,5.0,5.0,4+,Games,0,0,1,0
3404,3404,Transformers Rescue Bots: Dino Island,1.940122851733823,2.99,21,9,3.0,2.5,4+,Books & Reference,0,0,1,0
6045,6045,Shadow Wolf Mysteries: Curse of Wolfhill (Full),2.998751347242506,6.99,39,39,4.0,4.0,9+,Games,0,0,0,1
6598,6598,Flip That Bottle,2.023885943840229,0.0,599,50,3.5,3.5,4+,Games,1,0,0,0
3185,3185,WWE Immortals,3.3513996969056303,0.0,29918,1401,4.5,4.5,12+,Games,1,0,0,0
3216,3216,Stray Dog Simulator,2.1060820549378803,0.99,2781,2499,4.0,4.0,9+,Games,0,1,0,0
3750,3750,INKHUNTER try tattoo designs in augmented reality,1.8337270592860688,0.0,809,35,4.5,4.5,4+,Entertainment,1,0,0,0
1246,1246,Subway Surfers,2.1932303751534024,0.0,706110,97,4.5,4.0,9+,Games,1,0,0,0
832,832,Lieferheld - Delicious food delivery service,1.6641528839581314,0.0,29,1,4.5,5.0,12+,Food & Drink,1,0,0,0
6129,6129,New Star Soccer G-Story,1.9159324822292352,0.99,9,6,3.5,3.0,4+,Games,0,1,0,0
125,125,WhatsApp Messenger,2.130475293264102,0.0,287589,73088,4.5,4.5,4+,Social Networking,1,0,0,0
2847,2847,Forks Over Knives - Healthy Recipes & Easy Meals,2.03009349218267,4.99,756,144,5.0,4.5,4+,Food & Drink,0,0,1,0
936,936,唯品会 HD 全球精选，正品特卖,2.0270069304900753,0.0,68,0,4.0,0.0,17+,Shopping,1,0,0,0
1460,1460,Bingo Pop,2.4393184803237236,0.0,18971,36,4.0,4.0,12+,Games,1,0,0,0
1040,1040,百度贴吧-全球最大兴趣交友社区,2.0933901626445723,0.0,2860,4,4.0,4.0,17+,Social Networking,1,0,0,0
4628,4628,"Boston GameDay Radio for Live New England Sports, News, and Music – Patriots and Celtics Edition",1.296840627340024,1.99,54,54,5.0,5.0,4+,Sports,0,1,0,0
1849,1849,Redline Rush,1.7293349090581291,0.99,1766,397,4.5,4.5,4+,Games,0,1,0,0
4158,4158,BMO Snaps - Adventure Time Photo Game,2.325460244179848,2.99,67,13,4.5,5.0,9+,Games,0,0,1,0
1317,1317,Fair Food Maker Game - Make Yummy Carnival Treats,2.047683651803772,0.0,12251,93,4.0,4.0,4+,Games,1,0,0,0
1613,1613,Temple Run 2,2.1987285472555054,0.0,295211,91,4.5,4.0,9+,Games,1,0,0,0
4119,4119,Disc Golf Game,2.3680338602473725,3.99,85,50,4.5,4.5,4+,Games,0,0,1,0
5385,5385,Ominous Objects: Trail of Time HD (Full),3.013047996115232,6.99,34,34,3.5,3.5,9+,Games,0,0,0,1
6776,6776,NFL Rush Gameday,2.915982549094504,0.0,272,10,4.0,5.0,4+,Sports,1,0,0,0
2189,2189,Slam Dunk Basketball 2 - Play & Do Good,2.392756730572191,0.0,2963,6,4.5,4.0,12+,Games,1,0,0,0
3736,3736,Insidious VR,2.4160427332230623,0.0,121,121,3.5,3.5,12+,Entertainment,1,0,0,0
6707,6707,Spoofr — GPS & Location Simulator,0.08278537031645007,1.99,2,2,1.0,1.0,4+,Games,0,1,0,0
3010,3010,Tiny Miners,2.244541823647427,0.0,2317,97,4.5,4.5,4+,Games,1,0,0,0
1098,1098,Halifax Mobile Banking,2.005141887759205,0.0,8,0,4.5,0.0,4+,Finance,1,0,0,0
5577,5577,Devil Tower 2,2.00774351182574,0.99,0,0,0.0,0.0,9+,Games,0,1,0,0
6890,6890,Followers Analytics for Instagram - InstaReport,1.5457646786429338,0.0,13914,493,4.5,4.0,4+,Social Networking,1,0,0,0
6641,6641,VeeR VR - Virtual Reality,2.1160794960765887,0.0,241,1,4.0,1.0,12+,Entertainment,1,0,0,0
6146,6146,IllumiMoji,1.3211218327085277,0.99,14,8,3.0,4.0,17+,Books & Reference,0,1,0,0
2842,2842,Guess The Song - New music quiz!,1.640968130513867,0.0,4050,2938,4.5,4.5,4+,Games,1,0,0,0
6565,6565,OVO Store,0.791620482692814,0.0,95,0,4.5,0.0,4+,Shopping,1,0,0,0
5924,5924,Littlebook - for Facebook on Watch,1.4131488247143165,2.99,62,16,3.0,2.5,4+,Social Networking,0,0,1,0
6222,6222,ここに墓を建てよう,1.8364000789431467,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
1978,1978,Pan Book 1: The Fearless Beribolt,2.9615454316258094,5.99,438,3,4.5,4.5,4+,Books & Reference,0,0,0,1
4445,4445,Surfingers,2.4651790421811324,0.0,1416,16,4.5,3.5,9+,Games,1,0,0,0
5077,5077,Trump Dump ⁢,1.5664374921950703,0.0,4544,2534,4.5,4.5,9+,Games,1,0,0,0
4592,4592,Dungeons of Chaos UNITY EDITION,2.0994527320674234,3.99,148,6,5.0,5.0,9+,Games,0,0,1,0
895,895,Azuki Wave,1.327624539186778,1.99,14,1,4.0,5.0,4+,Entertainment,0,1,0,0
3066,3066,AdVenture Capitalist,2.465813957269479,0.0,181359,11269,4.5,5.0,4+,Games,1,0,0,0
690,690,My Verizon,2.178375421328323,0.0,126948,107245,4.5,4.5,4+,Utilities,1,0,0,0
6829,6829,脱出ゲーム　In My Heart,2.2045594833591484,0.0,1,1,1.0,1.0,4+,Games,1,0,0,0
4088,4088,SPL-T,2.04493154614916,2.99,124,63,4.0,4.0,4+,Games,0,0,1,0
2401,2401,Beautiful Japanese Handwriting for iPhone,1.3628027995674123,0.0,0,0,0.0,0.0,4+,Education,1,0,0,0
